frame_id,rack_id,track_id,class_id,class_name,confidence,xmin,ymin,xmax,ymax,cx,cy
frame_2,Rack_2,5,15,pepsi_med,0.9621707797050476,279,234,319,395,299,314
frame_2,Rack_2,8,15,pepsi_med,0.957883894443512,229,234,277,396,253,315
frame_2,Rack_2,17,15,pepsi_med,0.9517164826393127,187,234,228,395,207,314
frame_2,Rack_2,4,13,kick_med,0.9726765751838684,139,232,186,397,162,314
frame_2,Rack_2,44,13,kick_med,0.8645055890083313,97,230,138,397,117,313
frame_2,Rack_2,22,13,kick_med,0.9406286478042603,48,232,97,396,72,314
frame_2,Rack_2,26,13,kick_med,0.9428986310958862,5,234,47,395,26,314
frame_3,Rack_2,15,3,coke_med,0.9664224982261658,1130,222,1193,400,1161,311
frame_3,Rack_2,39,3,coke_med,0.8988900184631348,1065,223,1128,401,1096,312
frame_3,Rack_2,13,3,coke_med,0.956331193447113,1017,224,1062,400,1039,312
frame_3,Rack_2,40,3,coke_med,0.8908374905586243,962,222,1015,401,988,311
frame_3,Rack_2,1,3,coke_med,0.9683800935745239,912,221,961,400,936,310
frame_3,Rack_2,57,6,coke_v_med,0.8490199446678162,859,225,910,401,884,313
frame_3,Rack_2,19,6,coke_v_med,0.9418767690658569,805,225,856,401,830,313
frame_3,Rack_2,29,6,coke_v_med,0.9375285506248474,753,224,803,401,778,312
frame_3,Rack_2,33,2,anw_med,0.9298628568649292,703,224,752,404,727,314
frame_3,Rack_2,11,2,anw_med,0.9613063335418701,654,222,702,402,678,312
frame_3,Rack_2,20,2,anw_med,0.9414462447166443,604,224,653,402,628,313
frame_3,Rack_2,3,2,anw_med,0.9702272415161133,556,226,605,401,580,313
frame_3,Rack_2,9,2,anw_med,0.957102358341217,507,226,557,401,532,313
frame_3,Rack_2,2,2,anw_med,0.9760981798171997,457,225,507,401,482,313
frame_3,Rack_2,50,15,pepsi_med,0.8535799980163574,416,233,456,398,436,315
frame_3,Rack_2,7,15,pepsi_med,0.9524056315422058,370,234,415,395,392,314
frame_3,Rack_2,10,15,pepsi_med,0.9595944881439209,321,232,367,396,344,314
frame_3,Rack_2,5,15,pepsi_med,0.9657207727432251,279,234,319,395,299,314
frame_3,Rack_2,8,15,pepsi_med,0.9488257169723511,229,235,277,396,253,315
frame_3,Rack_2,17,15,pepsi_med,0.9472960829734802,187,235,228,395,207,315
frame_3,Rack_2,4,13,kick_med,0.9751188158988953,139,232,186,397,162,314
frame_3,Rack_2,44,13,kick_med,0.8588510155677795,97,230,138,397,117,313
frame_3,Rack_2,22,13,kick_med,0.9400550723075867,48,232,97,396,72,314
frame_3,Rack_2,26,13,kick_med,0.9461761713027954,5,234,47,395,26,314
frame_4,Rack_2,15,3,coke_med,0.9690970778465271,1130,223,1193,400,1161,311
frame_4,Rack_2,39,3,coke_med,0.8728166818618774,1065,223,1128,401,1096,312
frame_4,Rack_2,13,3,coke_med,0.9610258340835571,1017,224,1063,400,1040,312
frame_4,Rack_2,40,3,coke_med,0.904219388961792,963,222,1016,401,989,311
frame_4,Rack_2,1,3,coke_med,0.9681345224380493,912,221,961,400,936,310
frame_4,Rack_2,57,6,coke_v_med,0.8719238638877869,859,225,910,401,884,313
frame_4,Rack_2,19,6,coke_v_med,0.9481666088104248,805,225,857,401,831,313
frame_4,Rack_2,29,6,coke_v_med,0.9397296905517578,754,224,804,401,779,312
frame_4,Rack_2,33,2,anw_med,0.9277378916740417,703,224,752,404,727,314
frame_4,Rack_2,11,2,anw_med,0.9573404788970947,654,222,702,402,678,312
frame_4,Rack_2,20,2,anw_med,0.9445019364356995,605,224,653,402,629,313
frame_4,Rack_2,3,2,anw_med,0.967535674571991,556,226,605,401,580,313
frame_4,Rack_2,9,2,anw_med,0.9575446248054504,507,226,557,402,532,314
frame_4,Rack_2,2,2,anw_med,0.9754478931427002,457,224,507,401,482,312
frame_4,Rack_2,50,15,pepsi_med,0.8500580787658691,416,233,456,398,436,315
frame_4,Rack_2,7,15,pepsi_med,0.9521187543869019,370,234,415,395,392,314
frame_4,Rack_2,10,15,pepsi_med,0.9608402252197266,321,232,367,395,344,313
frame_4,Rack_2,5,15,pepsi_med,0.9682895541191101,279,234,319,395,299,314
frame_4,Rack_2,8,15,pepsi_med,0.9556825757026672,230,235,277,396,253,315
frame_4,Rack_2,17,15,pepsi_med,0.9485806822776794,187,235,228,395,207,315
frame_4,Rack_2,4,13,kick_med,0.9757184982299805,139,232,186,397,162,314
frame_4,Rack_2,44,13,kick_med,0.8596274256706238,97,230,138,397,117,313
frame_4,Rack_2,22,13,kick_med,0.9378495216369629,48,232,97,396,72,314
frame_4,Rack_2,26,13,kick_med,0.9469327330589294,5,234,47,395,26,314
frame_5,Rack_2,15,3,coke_med,0.9689560532569885,1130,222,1193,400,1161,311
frame_5,Rack_2,39,3,coke_med,0.8688522577285767,1065,223,1128,401,1096,312
frame_5,Rack_2,13,3,coke_med,0.9550319314002991,1017,224,1063,400,1040,312
frame_5,Rack_2,40,3,coke_med,0.9117434620857239,963,222,1016,401,989,311
frame_5,Rack_2,1,3,coke_med,0.9685590863227844,912,221,962,400,937,310
frame_5,Rack_2,57,6,coke_v_med,0.8677037954330444,859,225,910,401,884,313
frame_5,Rack_2,19,6,coke_v_med,0.9479721188545227,806,225,857,401,831,313
frame_5,Rack_2,29,6,coke_v_med,0.9376429915428162,754,224,804,401,779,312
frame_5,Rack_2,33,2,anw_med,0.9337897896766663,704,224,752,403,728,313
frame_5,Rack_2,11,2,anw_med,0.9550660848617554,654,222,702,402,678,312
frame_5,Rack_2,20,2,anw_med,0.9437987804412842,604,224,653,401,628,312
frame_5,Rack_2,3,2,anw_med,0.9672337174415588,556,226,605,401,580,313
frame_5,Rack_2,9,2,anw_med,0.9503592252731323,508,226,557,401,532,313
