frame_id,rack_id,track_id,class_id,class_name,confidence,xmin,ymin,xmax,ymax,cx,cy
frame_0,Rack_1,14,1,a&w_small,0.9529298543930054,1146,16,1198,165,1172,90
frame_0,Rack_1,56,1,a&w_small,0.8227671384811401,1099,20,1140,168,1119,94
frame_0,Rack_1,55,1,a&w_small,0.8350467085838318,1053,18,1098,170,1075,94
frame_0,Rack_1,49,1,a&w_small,0.8632949590682983,1007,21,1051,173,1029,97
frame_0,Rack_1,52,1,a&w_small,0.8522107005119324,961,23,1006,174,983,98
frame_0,Rack_1,42,1,a&w_small,0.8833770155906677,916,25,959,174,937,99
frame_0,Rack_1,59,1,a&w_small,0.8129546046257019,870,26,913,174,891,100
frame_0,Rack_1,35,4,coke_small,0.9158179759979248,826,29,868,176,847,102
frame_0,Rack_1,36,4,coke_small,0.905656099319458,783,33,825,176,804,104
frame_0,Rack_1,37,4,coke_small,0.9034152626991272,744,35,782,177,763,106
frame_0,Rack_1,47,4,coke_small,0.8687224388122559,702,33,743,177,722,105
frame_0,Rack_1,46,4,coke_small,0.8711047172546387,661,33,701,176,681,104
frame_0,Rack_1,18,4,coke_small,0.9468312859535217,619,36,660,177,639,106
frame_0,Rack_1,41,17,sprite_small,0.8836430311203003,578,35,618,178,598,106
frame_0,Rack_1,51,17,sprite_small,0.8542951941490173,538,35,577,182,557,108
frame_0,Rack_1,32,17,sprite_small,0.9274221062660217,501,36,536,181,518,108
frame_0,Rack_1,28,17,sprite_small,0.9340003132820129,459,32,500,180,479,106
frame_0,Rack_1,23,9,empty,0.9420613646507263,293,27,456,181,374,104
frame_0,Rack_1,38,0,7up_med,0.9011091589927673,147,46,203,209,175,127
frame_0,Rack_1,34,0,7up_med,0.9241974949836731,94,44,145,210,119,127
frame_0,Rack_1,53,0,7up_med,0.8514533042907715,47,45,92,212,69,128
frame_0,Rack_1,58,0,7up_med,0.8175597190856934,4,49,46,213,25,131
frame_1,Rack_1,14,1,a&w_small,0.9558181762695312,1146,14,1198,165,1172,89
frame_1,Rack_1,56,1,a&w_small,0.8360133171081543,1099,18,1140,168,1119,93
frame_1,Rack_1,55,1,a&w_small,0.82879638671875,1053,17,1098,170,1075,93
frame_1,Rack_1,49,1,a&w_small,0.8533282279968262,1007,20,1051,173,1029,96
frame_1,Rack_1,52,1,a&w_small,0.8604056239128113,961,22,1006,173,983,97
frame_1,Rack_1,42,1,a&w_small,0.884651780128479,916,24,959,174,937,99
frame_1,Rack_1,59,1,a&w_small,0.8182762265205383,870,26,913,175,891,100
frame_1,Rack_1,35,4,coke_small,0.9165196418762207,826,30,868,175,847,102
frame_1,Rack_1,36,4,coke_small,0.8971619009971619,783,33,825,175,804,104
frame_1,Rack_1,37,4,coke_small,0.9087554812431335,744,36,782,176,763,106
frame_1,Rack_1,47,4,coke_small,0.8593044877052307,703,33,743,176,723,104
frame_1,Rack_1,46,4,coke_small,0.8673203587532043,661,33,701,176,681,104
frame_1,Rack_1,18,4,coke_small,0.9462529420852661,620,36,660,176,640,106
frame_1,Rack_1,41,17,sprite_small,0.8947839736938477,578,35,618,176,598,105
frame_1,Rack_1,51,17,sprite_small,0.8688406944274902,538,34,576,179,557,106
frame_1,Rack_1,32,17,sprite_small,0.9364759922027588,501,35,536,178,518,106
frame_1,Rack_1,28,17,sprite_small,0.931378960609436,459,31,499,178,479,104
frame_1,Rack_1,23,9,empty,0.9472491145133972,292,25,454,178,373,101
frame_1,Rack_1,38,0,7up_med,0.9033713340759277,147,46,202,209,174,127
frame_1,Rack_1,34,0,7up_med,0.9216148257255554,93,44,145,209,119,126
frame_1,Rack_1,53,0,7up_med,0.8498514890670776,47,45,92,211,69,128
frame_1,Rack_1,58,0,7up_med,0.8075866103172302,4,49,46,213,25,131
frame_2,Rack_1,14,1,a&w_small,0.9575713872909546,1146,15,1198,165,1172,90
frame_2,Rack_1,56,1,a&w_small,0.8539343476295471,1099,18,1140,168,1119,93
frame_2,Rack_1,55,1,a&w_small,0.8502359390258789,1053,17,1099,170,1076,93
frame_2,Rack_1,49,1,a&w_small,0.8665985465049744,1007,20,1051,173,1029,96
