epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,49.5985,0.79861,0.58239,1.06305,0.99354,1,0.995,0.81005,0.84044,0.39153,1.14124,0.000124212,0.000124212,0.000124212
44,51.0002,0.84791,0.65606,1.08704,0.99363,1,0.995,0.83271,0.87049,0.3754,1.12289,0.000120302,0.000120302,0.000120302
45,52.058,0.80599,0.61935,1.04352,0.99363,1,0.995,0.83271,0.87049,0.3754,1.12289,0.000116077,0.000116077,0.000116077
46,53.0407,0.88048,0.68838,1.04883,0.99407,1,0.995,0.83975,0.85146,0.38997,1.10931,0.000111539,0.000111539,0.000111539
47,56.6371,0.82544,0.61391,1.06446,0.99407,1,0.995,0.83975,0.85146,0.38997,1.10931,0.000106686,0.000106686,0.000106686
48,57.625,0.71286,0.58857,0.99483,0.9943,1,0.995,0.83847,0.78639,0.37642,1.09585,0.000101519,0.000101519,0.000101519
49,58.5017,0.90363,0.85267,1.173,0.9943,1,0.995,0.83847,0.78639,0.37642,1.09585,9.60378e-05,9.60378e-05,9.60378e-05
50,59.4474,0.70951,0.56458,1.03971,0.99426,1,0.995,0.85121,0.70213,0.35275,1.08205,9.02425e-05,9.02425e-05,9.02425e-05
51,62.1788,0.74318,1.14742,1.08781,0.99426,1,0.995,0.85121,0.70213,0.35275,1.08205,8.33e-05,8.33e-05,8.33e-05
52,63.847,0.70257,1.23041,1.12576,0.9943,1,0.995,0.86587,0.64567,0.32912,1.07631,7.5446e-05,7.5446e-05,7.5446e-05
53,64.8113,0.99021,1.19493,1.07123,0.9943,1,0.995,0.86587,0.64567,0.32912,1.07631,6.7592e-05,6.7592e-05,6.7592e-05
54,65.8524,0.85547,1.14236,1.11327,0.99432,1,0.995,0.8629,0.62543,0.32914,1.0849,5.9738e-05,5.9738e-05,5.9738e-05
55,66.7543,0.68947,0.85301,0.99414,0.99432,1,0.995,0.8629,0.62543,0.32914,1.0849,5.1884e-05,5.1884e-05,5.1884e-05
56,67.6577,0.70248,0.96972,0.99236,0.99409,1,0.995,0.8933,0.62153,0.32455,1.09393,4.403e-05,4.403e-05,4.403e-05
57,68.5887,0.76693,0.95361,1.15905,0.99409,1,0.995,0.8933,0.62153,0.32455,1.09393,3.6176e-05,3.6176e-05,3.6176e-05
58,69.5999,0.94477,1.10961,1.04521,0.99395,1,0.995,0.89225,0.62666,0.32018,1.09183,2.8322e-05,2.8322e-05,2.8322e-05
59,70.6205,0.55787,0.76717,1.00993,0.99395,1,0.995,0.89225,0.62666,0.32018,1.09183,2.0468e-05,2.0468e-05,2.0468e-05
60,71.6159,0.65437,0.78666,1.06309,0.99396,1,0.995,0.87391,0.62962,0.32382,1.08383,1.2614e-05,1.2614e-05,1.2614e-05
