frame_id,rack_id,track_id,class_id,class_name,cx
frame_103,Rack_1,24,17,sprite_small,372
frame_103,Rack_1,34,17,sprite_small,349
frame_103,Rack_1,36,17,sprite_small,326
frame_103,Rack_1,31,8,dew_med,295
frame_103,Rack_1,20,8,dew_med,267
frame_103,Rack_1,13,8,dew_med,240
frame_103,Rack_1,12,8,dew_med,214
frame_103,Rack_1,18,8,dew_med,190
frame_103,Rack_1,14,8,dew_med,165
frame_103,Rack_1,49,8,dew_med,137
frame_103,Rack_1,81,0,7up_med,114
frame_103,Rack_1,69,0,7up_med,92
frame_103,Rack_1,85,0,7up_med,67
frame_103,Rack_1,91,0,7up_med,44
frame_104,Rack_1,26,1,a&w_small,626
frame_104,Rack_1,32,1,a&w_small,598
frame_104,Rack_1,43,4,coke_small,541
frame_104,Rack_1,35,4,coke_small,513
frame_104,Rack_1,45,4,coke_small,484
frame_104,Rack_1,50,4,coke_small,457
frame_104,Rack_1,30,4,coke_small,428
frame_104,Rack_1,42,17,sprite_small,400
frame_104,Rack_1,24,17,sprite_small,376
frame_104,Rack_1,34,17,sprite_small,352
frame_104,Rack_1,36,17,sprite_small,329
frame_104,Rack_1,31,8,dew_med,298
frame_104,Rack_1,20,8,dew_med,270
frame_104,Rack_1,13,8,dew_med,243
frame_104,Rack_1,12,8,dew_med,216
frame_104,Rack_1,18,8,dew_med,192
frame_104,Rack_1,14,8,dew_med,168
frame_104,Rack_1,49,8,dew_med,140
frame_104,Rack_1,81,0,7up_med,117
frame_104,Rack_1,69,0,7up_med,94
frame_104,Rack_1,85,0,7up_med,70
frame_104,Rack_1,95,0,7up_med,23
frame_105,Rack_1,26,1,a&w_small,628
frame_105,Rack_1,32,1,a&w_small,601
frame_105,Rack_1,29,4,coke_small,569
frame_105,Rack_1,43,4,coke_small,544
frame_105,Rack_1,35,4,coke_small,516
frame_105,Rack_1,45,4,coke_small,487
frame_105,Rack_1,50,4,coke_small,460
frame_105,Rack_1,30,4,coke_small,431
frame_105,Rack_1,42,17,sprite_small,403
frame_105,Rack_1,24,17,sprite_small,378
frame_105,Rack_1,34,17,sprite_small,355
frame_105,Rack_1,36,17,sprite_small,332
frame_105,Rack_1,31,8,dew_med,300
frame_105,Rack_1,20,8,dew_med,273
frame_105,Rack_1,13,8,dew_med,246
frame_105,Rack_1,12,8,dew_med,219
frame_105,Rack_1,18,8,dew_med,195
frame_105,Rack_1,14,8,dew_med,170
frame_105,Rack_1,49,8,dew_med,144
frame_105,Rack_1,81,0,7up_med,120
frame_105,Rack_1,69,0,7up_med,98
frame_105,Rack_1,85,0,7up_med,73
frame_105,Rack_1,91,0,7up_med,49
frame_105,Rack_1,95,0,7up_med,26
frame_106,Rack_1,26,1,a&w_small,629
frame_106,Rack_1,32,1,a&w_small,605
frame_106,Rack_1,29,4,coke_small,572
frame_106,Rack_1,43,4,coke_small,547
frame_106,Rack_1,35,4,coke_small,519
frame_106,Rack_1,45,4,coke_small,490
frame_106,Rack_1,50,4,coke_small,463
frame_106,Rack_1,30,4,coke_small,434
frame_106,Rack_1,42,17,sprite_small,405
frame_106,Rack_1,24,17,sprite_small,381
frame_106,Rack_1,34,17,sprite_small,357
frame_106,Rack_1,36,17,sprite_small,335
frame_106,Rack_1,31,8,dew_med,302
frame_106,Rack_1,20,8,dew_med,275
frame_106,Rack_1,13,8,dew_med,248
frame_106,Rack_1,12,8,dew_med,221
frame_106,Rack_1,18,8,dew_med,197
frame_106,Rack_1,14,8,dew_med,173
frame_106,Rack_1,81,0,7up_med,122
frame_106,Rack_1,69,0,7up_med,100
frame_106,Rack_1,85,0,7up_med,75
frame_106,Rack_1,91,0,7up_med,51
frame_106,Rack_1,95,0,7up_med,29
frame_107,Rack_1,32,1,a&w_small,608
frame_107,Rack_1,29,4,coke_small,574
frame_107,Rack_1,43,4,coke_small,550
frame_107,Rack_1,35,4,coke_small,521
frame_107,Rack_1,45,4,coke_small,493
frame_107,Rack_1,50,4,coke_small,465
frame_107,Rack_1,30,4,coke_small,436
frame_107,Rack_1,42,17,sprite_small,407
frame_107,Rack_1,24,17,sprite_small,384
frame_107,Rack_1,34,17,sprite_small,360
frame_107,Rack_1,36,17,sprite_small,337
frame_107,Rack_1,31,8,dew_med,305
frame_107,Rack_1,20,8,dew_med,277
frame_107,Rack_1,13,8,dew_med,250
frame_107,Rack_1,12,8,dew_med,223
frame_107,Rack_1,18,8,dew_med,199
frame_107,Rack_1,14,8,dew_med,175
frame_107,Rack_1,49,8,dew_med,148
frame_107,Rack_1,81,0,7up_med,124
frame_107,Rack_1,69,0,7up_med,101
frame_107,Rack_1,85,0,7up_med,77
frame_107,Rack_1,91,0,7up_med,53
frame_107,Rack_1,95,0,7up_med,31
frame_108,Rack_1,32,1,a&w_small,610
frame_108,Rack_1,29,4,coke_small,577
frame_108,Rack_1,43,4,coke_small,552
frame_108,Rack_1,35,4,coke_small,524
frame_108,Rack_1,45,4,coke_small,495
frame_108,Rack_1,50,4,coke_small,467
frame_108,Rack_1,30,4,coke_small,438
frame_108,Rack_1,42,17,sprite_small,410
frame_108,Rack_1,24,17,sprite_small,386
frame_108,Rack_1,34,17,sprite_small,362
frame_108,Rack_1,36,17,sprite_small,339
frame_108,Rack_1,31,8,dew_med,307
frame_108,Rack_1,20,8,dew_med,279
frame_108,Rack_1,13,8,dew_med,252
frame_108,Rack_1,12,8,dew_med,226
frame_108,Rack_1,18,8,dew_med,201
frame_108,Rack_1,14,8,dew_med,177
frame_108,Rack_1,81,0,7up_med,126
frame_108,Rack_1,69,0,7up_med,103
frame_108,Rack_1,85,0,7up_med,79
frame_108,Rack_1,91,0,7up_med,55
frame_108,Rack_1,95,0,7up_med,32
frame_109,Rack_1,32,1,a&w_small,612
frame_109,Rack_1,29,4,coke_small,580
frame_109,Rack_1,43,4,coke_small,554
frame_109,Rack_1,35,4,coke_small,526
frame_109,Rack_1,45,4,coke_small,498
frame_109,Rack_1,50,4,coke_small,470
frame_109,Rack_1,30,4,coke_small,441
frame_109,Rack_1,42,17,sprite_small,412
frame_109,Rack_1,24,17,sprite_small,388
frame_109,Rack_1,34,17,sprite_small,364
frame_109,Rack_1,36,17,sprite_small,341
frame_109,Rack_1,31,8,dew_med,308
frame_109,Rack_1,20,8,dew_med,281
frame_109,Rack_1,13,8,dew_med,254
frame_109,Rack_1,12,8,dew_med,227
frame_109,Rack_1,18,8,dew_med,203
frame_109,Rack_1,14,8,dew_med,178
frame_109,Rack_1,81,0,7up_med,128
frame_109,Rack_1,69,0,7up_med,105
frame_11,Rack_1,51,1,a&w_small,587
frame_11,Rack_1,53,1,a&w_small,557
frame_11,Rack_1,44,1,a&w_small,533
frame_11,Rack_1,37,1,a&w_small,505
frame_11,Rack_1,26,1,a&w_small,476
frame_11,Rack_1,32,1,a&w_small,448
frame_11,Rack_1,29,1,a&w_small,419
frame_11,Rack_1,43,4,coke_small,395
frame_11,Rack_1,35,4,coke_small,370
frame_11,Rack_1,45,4,coke_small,344
frame_11,Rack_1,50,4,coke_small,319
frame_11,Rack_1,30,4,coke_small,293
frame_11,Rack_1,42,17,sprite_small,266
frame_11,Rack_1,24,17,sprite_small,240
frame_11,Rack_1,34,17,sprite_small,220
frame_11,Rack_1,36,17,sprite_small,197
frame_11,Rack_1,31,8,dew_med,171
frame_11,Rack_1,20,8,dew_med,145
frame_11,Rack_1,13,8,dew_med,119
frame_11,Rack_1,12,8,dew_med,94
frame_11,Rack_1,18,8,dew_med,72
frame_11,Rack_1,14,8,dew_med,50
frame_11,Rack_1,49,8,dew_med,25
frame_110,Rack_1,32,1,a&w_small,615
frame_110,Rack_1,29,4,coke_small,584
frame_110,Rack_1,43,4,coke_small,557
frame_110,Rack_1,35,4,coke_small,529
frame_110,Rack_1,45,4,coke_small,500
frame_110,Rack_1,50,4,coke_small,471
frame_110,Rack_1,30,4,coke_small,443
frame_110,Rack_1,42,17,sprite_small,414
frame_110,Rack_1,24,17,sprite_small,390
frame_110,Rack_1,34,17,sprite_small,366
frame_110,Rack_1,36,17,sprite_small,343
frame_110,Rack_1,31,8,dew_med,311
frame_110,Rack_1,20,8,dew_med,283
frame_110,Rack_1,13,8,dew_med,256
frame_110,Rack_1,12,8,dew_med,229
frame_110,Rack_1,18,8,dew_med,205
frame_110,Rack_1,14,8,dew_med,180
frame_110,Rack_1,49,8,dew_med,154
frame_110,Rack_1,81,0,7up_med,129
frame_110,Rack_1,69,0,7up_med,107
frame_110,Rack_1,85,0,7up_med,82
frame_110,Rack_1,91,0,7up_med,59
frame_110,Rack_1,95,0,7up_med,35
frame_111,Rack_1,43,4,coke_small,560
frame_111,Rack_1,35,4,coke_small,531
frame_111,Rack_1,45,4,coke_small,502
frame_111,Rack_1,50,4,coke_small,474
frame_111,Rack_1,30,4,coke_small,445
frame_111,Rack_1,42,17,sprite_small,416
frame_111,Rack_1,24,17,sprite_small,392
frame_111,Rack_1,34,17,sprite_small,368
frame_111,Rack_1,36,17,sprite_small,345
frame_111,Rack_1,31,8,dew_med,312
frame_111,Rack_1,20,8,dew_med,285
frame_111,Rack_1,13,8,dew_med,258
frame_111,Rack_1,12,8,dew_med,231
frame_111,Rack_1,18,8,dew_med,206
frame_111,Rack_1,14,8,dew_med,182
frame_111,Rack_1,49,0,7up_med,155
frame_111,Rack_1,81,0,7up_med,131
frame_111,Rack_1,69,0,7up_med,108
frame_111,Rack_1,85,0,7up_med,83
frame_111,Rack_1,91,0,7up_med,60
frame_111,Rack_1,95,0,7up_med,37
frame_112,Rack_1,43,4,coke_small,563
frame_112,Rack_1,35,4,coke_small,533
frame_112,Rack_1,45,4,coke_small,504
frame_112,Rack_1,50,4,coke_small,476
frame_112,Rack_1,30,4,coke_small,447
frame_112,Rack_1,42,17,sprite_small,419
frame_112,Rack_1,24,17,sprite_small,394
frame_112,Rack_1,34,17,sprite_small,371
frame_112,Rack_1,36,17,sprite_small,347
frame_112,Rack_1,31,8,dew_med,314
frame_112,Rack_1,20,8,dew_med,287
frame_112,Rack_1,13,8,dew_med,259
frame_112,Rack_1,12,8,dew_med,233
frame_112,Rack_1,18,8,dew_med,208
frame_112,Rack_1,14,8,dew_med,183
frame_112,Rack_1,49,0,7up_med,157
frame_112,Rack_1,81,0,7up_med,132
frame_112,Rack_1,69,0,7up_med,110
frame_112,Rack_1,85,0,7up_med,84
frame_112,Rack_1,91,0,7up_med,61
frame_112,Rack_1,95,0,7up_med,38
frame_113,Rack_1,29,4,coke_small,590
frame_113,Rack_1,43,4,coke_small,565
frame_113,Rack_1,35,4,coke_small,536
frame_113,Rack_1,45,4,coke_small,507
frame_113,Rack_1,50,4,coke_small,479
frame_113,Rack_1,30,4,coke_small,449
frame_113,Rack_1,24,17,sprite_small,396
frame_113,Rack_1,34,17,sprite_small,372
frame_113,Rack_1,36,17,sprite_small,349
frame_113,Rack_1,31,8,dew_med,316
frame_113,Rack_1,20,8,dew_med,289
frame_113,Rack_1,13,8,dew_med,261
frame_113,Rack_1,12,8,dew_med,234
frame_113,Rack_1,18,8,dew_med,210
frame_113,Rack_1,14,8,dew_med,185
frame_113,Rack_1,49,0,7up_med,158
frame_113,Rack_1,81,0,7up_med,133
frame_113,Rack_1,69,0,7up_med,111
frame_113,Rack_1,85,0,7up_med,85
frame_113,Rack_1,91,0,7up_med,62
frame_113,Rack_1,95,0,7up_med,39
frame_114,Rack_1,32,1,a&w_small,622
frame_114,Rack_1,43,4,coke_small,568
frame_114,Rack_1,35,4,coke_small,539
frame_114,Rack_1,45,4,coke_small,509
frame_114,Rack_1,50,4,coke_small,482
frame_114,Rack_1,30,4,coke_small,452
frame_114,Rack_1,24,17,sprite_small,398
frame_114,Rack_1,34,17,sprite_small,374
frame_114,Rack_1,36,17,sprite_small,350
frame_114,Rack_1,31,8,dew_med,318
frame_114,Rack_1,20,8,dew_med,290
frame_114,Rack_1,13,8,dew_med,262
frame_114,Rack_1,12,8,dew_med,236
frame_114,Rack_1,18,8,dew_med,211
frame_114,Rack_1,14,8,dew_med,186
frame_114,Rack_1,49,0,7up_med,160
frame_114,Rack_1,81,0,7up_med,135
frame_114,Rack_1,69,0,7up_med,112
frame_114,Rack_1,85,0,7up_med,87
frame_114,Rack_1,91,0,7up_med,64
frame_114,Rack_1,95,0,7up_med,40
frame_115,Rack_1,32,1,a&w_small,623
frame_115,Rack_1,43,4,coke_small,571
frame_115,Rack_1,35,4,coke_small,542
frame_115,Rack_1,45,4,coke_small,512
frame_115,Rack_1,50,4,coke_small,484
frame_115,Rack_1,30,4,coke_small,454
frame_115,Rack_1,42,17,sprite_small,426
frame_115,Rack_1,24,17,sprite_small,401
frame_115,Rack_1,34,17,sprite_small,377
frame_115,Rack_1,36,17,sprite_small,353
frame_115,Rack_1,31,8,dew_med,320
frame_115,Rack_1,20,8,dew_med,292
frame_115,Rack_1,13,8,dew_med,264
frame_115,Rack_1,12,8,dew_med,238
frame_115,Rack_1,18,8,dew_med,213
frame_115,Rack_1,14,8,dew_med,188
frame_115,Rack_1,49,0,7up_med,161
frame_115,Rack_1,81,0,7up_med,136
frame_115,Rack_1,69,0,7up_med,114
frame_115,Rack_1,85,0,7up_med,88
frame_115,Rack_1,91,0,7up_med,65
frame_115,Rack_1,95,0,7up_med,42
frame_115,Rack_1,102,0,7up_med,15
frame_116,Rack_1,43,4,coke_small,574
frame_116,Rack_1,35,4,coke_small,545
frame_116,Rack_1,45,4,coke_small,515
frame_116,Rack_1,50,4,coke_small,486
frame_116,Rack_1,30,4,coke_small,456
frame_116,Rack_1,42,17,sprite_small,428
frame_116,Rack_1,24,17,sprite_small,403
frame_116,Rack_1,34,17,sprite_small,379
frame_116,Rack_1,36,17,sprite_small,355
frame_116,Rack_1,31,8,dew_med,323
frame_116,Rack_1,20,8,dew_med,294
frame_116,Rack_1,13,8,dew_med,266
frame_116,Rack_1,12,8,dew_med,240
frame_116,Rack_1,18,8,dew_med,215
frame_116,Rack_1,14,8,dew_med,190
frame_116,Rack_1,49,0,7up_med,163
frame_116,Rack_1,81,0,7up_med,138
frame_116,Rack_1,69,0,7up_med,115
frame_116,Rack_1,85,0,7up_med,90
frame_116,Rack_1,91,0,7up_med,67
frame_116,Rack_1,95,0,7up_med,43
frame_116,Rack_1,102,0,7up_med,16
frame_117,Rack_1,43,4,coke_small,576
frame_117,Rack_1,35,4,coke_small,547
frame_117,Rack_1,45,4,coke_small,517
frame_117,Rack_1,50,4,coke_small,488
frame_117,Rack_1,30,4,coke_small,459
frame_117,Rack_1,42,17,sprite_small,430
frame_117,Rack_1,24,17,sprite_small,405
frame_117,Rack_1,34,17,sprite_small,381
frame_117,Rack_1,36,17,sprite_small,357
frame_117,Rack_1,31,8,dew_med,325
frame_117,Rack_1,20,8,dew_med,296
frame_117,Rack_1,13,8,dew_med,268
frame_117,Rack_1,12,8,dew_med,242
frame_117,Rack_1,18,8,dew_med,216
frame_117,Rack_1,14,8,dew_med,191
frame_117,Rack_1,49,0,7up_med,164
frame_117,Rack_1,81,0,7up_med,140
frame_117,Rack_1,69,0,7up_med,117
frame_117,Rack_1,85,0,7up_med,91
frame_117,Rack_1,91,0,7up_med,68
frame_117,Rack_1,95,0,7up_med,45
frame_117,Rack_1,102,0,7up_med,17
frame_118,Rack_1,29,4,coke_small,605
frame_118,Rack_1,43,4,coke_small,579
frame_118,Rack_1,35,4,coke_small,549
frame_118,Rack_1,45,4,coke_small,519
frame_118,Rack_1,50,4,coke_small,490
frame_118,Rack_1,30,4,coke_small,461
frame_118,Rack_1,34,17,sprite_small,383
frame_118,Rack_1,36,17,sprite_small,359
frame_118,Rack_1,31,8,dew_med,327
frame_118,Rack_1,20,8,dew_med,298
frame_118,Rack_1,13,8,dew_med,270
frame_118,Rack_1,12,8,dew_med,243
frame_118,Rack_1,18,8,dew_med,218
frame_118,Rack_1,14,8,dew_med,193
frame_118,Rack_1,49,0,7up_med,166
frame_118,Rack_1,81,0,7up_med,141
frame_118,Rack_1,69,0,7up_med,119
frame_118,Rack_1,85,0,7up_med,93
frame_118,Rack_1,91,0,7up_med,70
frame_118,Rack_1,95,0,7up_med,46
frame_118,Rack_1,102,0,7up_med,19
frame_119,Rack_1,29,4,coke_small,607
frame_119,Rack_1,43,4,coke_small,581
frame_119,Rack_1,35,4,coke_small,552
frame_119,Rack_1,45,4,coke_small,522
frame_119,Rack_1,50,4,coke_small,493
frame_119,Rack_1,30,4,coke_small,464
frame_119,Rack_1,42,17,sprite_small,435
frame_119,Rack_1,24,17,sprite_small,410
frame_119,Rack_1,34,17,sprite_small,385
frame_119,Rack_1,36,17,sprite_small,361
frame_119,Rack_1,31,8,dew_med,329
frame_119,Rack_1,20,8,dew_med,300
frame_119,Rack_1,13,8,dew_med,272
frame_119,Rack_1,12,8,dew_med,245
frame_119,Rack_1,18,8,dew_med,220
frame_119,Rack_1,14,8,dew_med,195
frame_119,Rack_1,49,0,7up_med,168
frame_119,Rack_1,81,0,7up_med,143
frame_119,Rack_1,69,0,7up_med,120
frame_119,Rack_1,85,0,7up_med,95
frame_119,Rack_1,91,0,7up_med,72
frame_119,Rack_1,95,0,7up_med,48
frame_119,Rack_1,102,0,7up_med,21
frame_12,Rack_1,51,1,a&w_small,587
frame_12,Rack_1,53,1,a&w_small,558
frame_12,Rack_1,44,1,a&w_small,534
frame_12,Rack_1,37,1,a&w_small,505
frame_12,Rack_1,26,1,a&w_small,477
frame_12,Rack_1,32,1,a&w_small,448
frame_12,Rack_1,29,1,a&w_small,420
frame_12,Rack_1,43,4,coke_small,395
frame_12,Rack_1,35,4,coke_small,371
frame_12,Rack_1,45,4,coke_small,344
frame_12,Rack_1,50,4,coke_small,319
frame_12,Rack_1,30,4,coke_small,294
frame_12,Rack_1,42,17,sprite_small,266
frame_12,Rack_1,24,17,sprite_small,241
frame_12,Rack_1,34,17,sprite_small,220
frame_12,Rack_1,36,17,sprite_small,198
frame_12,Rack_1,31,8,dew_med,172
frame_12,Rack_1,20,8,dew_med,146
frame_12,Rack_1,13,8,dew_med,120
frame_12,Rack_1,12,8,dew_med,95
frame_12,Rack_1,18,8,dew_med,73
frame_12,Rack_1,14,8,dew_med,50
frame_12,Rack_1,49,8,dew_med,25
frame_120,Rack_1,32,1,a&w_small,630
frame_120,Rack_1,29,4,coke_small,610
frame_120,Rack_1,43,4,coke_small,584
frame_120,Rack_1,35,4,coke_small,555
frame_120,Rack_1,45,4,coke_small,524
frame_120,Rack_1,50,4,coke_small,495
frame_120,Rack_1,30,4,coke_small,466
frame_120,Rack_1,24,17,sprite_small,412
frame_120,Rack_1,31,8,dew_med,331
frame_120,Rack_1,20,8,dew_med,302
frame_120,Rack_1,13,8,dew_med,274
frame_120,Rack_1,12,8,dew_med,247
frame_120,Rack_1,18,8,dew_med,222
frame_120,Rack_1,14,8,dew_med,197
frame_120,Rack_1,49,0,7up_med,170
frame_120,Rack_1,81,0,7up_med,145
frame_120,Rack_1,69,0,7up_med,122
frame_120,Rack_1,85,0,7up_med,97
frame_120,Rack_1,91,0,7up_med,74
frame_120,Rack_1,95,0,7up_med,50
frame_120,Rack_1,102,0,7up_med,22
frame_121,Rack_1,43,4,coke_small,587
frame_121,Rack_1,35,4,coke_small,557
frame_121,Rack_1,45,4,coke_small,527
frame_121,Rack_1,50,4,coke_small,498
frame_121,Rack_1,30,4,coke_small,468
frame_121,Rack_1,24,17,sprite_small,414
frame_121,Rack_1,34,17,sprite_small,390
frame_121,Rack_1,36,17,sprite_small,365
frame_121,Rack_1,31,8,dew_med,333
frame_121,Rack_1,20,8,dew_med,304
frame_121,Rack_1,13,8,dew_med,276
frame_121,Rack_1,12,8,dew_med,249
frame_121,Rack_1,18,8,dew_med,224
frame_121,Rack_1,14,8,dew_med,199
frame_121,Rack_1,49,0,7up_med,172
frame_121,Rack_1,81,0,7up_med,147
frame_121,Rack_1,69,0,7up_med,124
frame_121,Rack_1,85,0,7up_med,98
frame_121,Rack_1,91,0,7up_med,75
frame_121,Rack_1,95,0,7up_med,52
frame_121,Rack_1,102,0,7up_med,24
frame_122,Rack_1,29,4,coke_small,616
frame_122,Rack_1,43,4,coke_small,589
frame_122,Rack_1,35,4,coke_small,560
frame_122,Rack_1,45,4,coke_small,530
frame_122,Rack_1,50,4,coke_small,500
frame_122,Rack_1,30,4,coke_small,470
frame_122,Rack_1,42,17,sprite_small,442
frame_122,Rack_1,24,17,sprite_small,416
frame_122,Rack_1,34,17,sprite_small,392
frame_122,Rack_1,36,17,sprite_small,367
frame_122,Rack_1,31,8,dew_med,335
frame_122,Rack_1,20,8,dew_med,306
frame_122,Rack_1,13,8,dew_med,278
frame_122,Rack_1,12,8,dew_med,251
frame_122,Rack_1,18,8,dew_med,226
frame_122,Rack_1,14,8,dew_med,201
frame_122,Rack_1,49,0,7up_med,173
frame_122,Rack_1,81,0,7up_med,149
frame_122,Rack_1,69,0,7up_med,125
frame_122,Rack_1,85,0,7up_med,100
frame_122,Rack_1,91,0,7up_med,76
frame_122,Rack_1,95,0,7up_med,53
frame_122,Rack_1,102,0,7up_med,26
frame_123,Rack_1,43,4,coke_small,591
frame_123,Rack_1,35,4,coke_small,562
frame_123,Rack_1,45,4,coke_small,532
frame_123,Rack_1,50,4,coke_small,501
frame_123,Rack_1,30,4,coke_small,472
frame_123,Rack_1,42,17,sprite_small,443
frame_123,Rack_1,24,17,sprite_small,418
frame_123,Rack_1,34,17,sprite_small,394
frame_123,Rack_1,36,17,sprite_small,369
